agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,max return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,max return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,,,30.0,-165.052,83.888,13.213,83.836,0.0,2565.768,0.714,-0.565
DQN (MLP),sb_dqn,{},,,,,,,,,,30.0,158.228,118.869,300.552,4.177,0.0,102.962,0.0,11.552
GPQ2 (DGP),gpq_agent,{},,,,,,,,,,30.0,-22.969,72.379,212.475,438.096,0.0,14997.516,0.0,10.051
GPQ3 (DGP),gpq_agent,{},,,,,,,,,,30.0,-163.894,107.053,-38.647,54.555,0.0,1711.157,0.335,0.425
GPQEGREEDY (DGP),gpq_agent,{},,,,,,,,,,30.0,-123.976,82.694,7.66,100.885,0.0,3197.254,0.001,3.274
GPQUCB (DGP),gpq_agent,{},,,,,,,,,,30.0,-233.71,139.886,-1.134,59.822,0.0,1897.063,0.998,-2.929
random,random,{},,,,,,,,,,30.0,-172.484,102.483,-5.308,0.573,0.0,14.737,0.5,0.0
DQN (Linear),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': []}}",1000.0,-408.383,185.715,-101.297,11.445,0.0,323.768,1.0,-36.233,30.0,-405.861,193.818,-6.142,1.492,0.0,39.342,1.0,-8.078
GPQ (SVGP),gpq_agent,{},,,,,,,,,,30.0,-129.147,76.231,79.124,103.3,0.0,2856.459,0.001,3.118
GPQ (DGP),gpq_agent,{},,,,,,,,,,30.0,-17.074,107.936,254.653,429.368,0.001,13003.291,0.0,8.868
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,,,30.0,-165.052,83.888,13.213,83.836,0.0,2565.768,0.714,-0.565
DQN (MLP),sb_dqn,{},,,,,,,,,,30.0,158.228,118.869,300.552,4.177,0.0,102.962,0.0,11.552
GPQ2 (DGP),gpq_agent,{},,,,,,,,,,30.0,-22.969,72.379,212.475,438.096,0.0,14997.516,0.0,10.051
GPQ3 (DGP),gpq_agent,{},,,,,,,,,,30.0,-163.894,107.053,-38.647,54.555,0.0,1711.157,0.335,0.425
GPQEGREEDY (DGP),gpq_agent,{},,,,,,,,,,30.0,-123.976,82.694,7.66,100.885,0.0,3197.254,0.001,3.274
GPQUCB (DGP),gpq_agent,{},,,,,,,,,,30.0,-233.71,139.886,-1.134,59.822,0.0,1897.063,0.998,-2.929
DQN (Linear),sb_dqn,{},,,,,,,,,,30.0,-405.861,193.818,-6.142,1.492,0.0,39.342,1.0,-8.078
random,random,{},,,,,,,,,,30.0,-172.484,102.483,-5.308,0.573,0.0,14.737,0.5,0.0
GPSARSA2 (DGP),gpsarsa_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': 9, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",2000.0,-65.626,142.338,317.007,21274.427,1.041,1660606.865,0.0,23.901,30.0,58.83,147.219,268.094,378.018,0.0,13270.642,0.0,9.634
GPQ (SVGP),gpq_agent,{},,,,,,,,,,30.0,-129.147,76.231,79.124,103.3,0.0,2856.459,0.001,3.118
GPQ (DGP),gpq_agent,{},,,,,,,,,,30.0,-17.074,107.936,254.653,429.368,0.001,13003.291,0.0,8.868
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,,,30.0,-165.052,83.888,13.213,83.836,0.0,2565.768,0.714,-0.565
DQN (MLP),sb_dqn,{},,,,,,,,,,30.0,158.228,118.869,300.552,4.177,0.0,102.962,0.0,11.552
GPQ2 (DGP),gpq_agent,{},,,,,,,,,,30.0,-22.969,72.379,212.475,438.096,0.0,14997.516,0.0,10.051
GPQ3 (DGP),gpq_agent,{},,,,,,,,,,30.0,-163.894,107.053,-38.647,54.555,0.0,1711.157,0.335,0.425
GPQEGREEDY (DGP),gpq_agent,{},,,,,,,,,,30.0,-123.976,82.694,7.66,100.885,0.0,3197.254,0.001,3.274
GPQUCB (DGP),gpq_agent,{},,,,,,,,,,30.0,-233.71,139.886,-1.134,59.822,0.0,1897.063,0.998,-2.929
DQN (Linear),sb_dqn,{},,,,,,,,,,30.0,-405.861,193.818,-6.142,1.492,0.0,39.342,1.0,-8.078
GPSARSA2 (DGP),gpsarsa_agent,{},2000.0,,,,,,,,,30.0,58.83,147.219,268.094,378.018,0.0,13270.642,0.0,9.634
random,random,{},,,,,,,,,,30.0,-172.484,102.483,-5.308,0.573,0.0,14.737,0.5,0.0
